epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5558.96,1.23821,0.91937,1.38947,0.88958,0.8743,0.91667,0.60217,1.2589,0.71262,1.36324,0.007228,0.007228,0.007228
44,5694.17,1.22841,0.90137,1.38187,0.91245,0.85465,0.92735,0.60521,1.24438,0.68555,1.36471,0.007162,0.007162,0.007162
45,5829.34,1.22507,0.90094,1.37362,0.91142,0.87209,0.9333,0.60703,1.25049,0.69577,1.36291,0.007096,0.007096,0.007096
46,5963.08,1.21903,0.89098,1.3598,0.8844,0.87475,0.92678,0.59253,1.30047,0.72746,1.37611,0.00703,0.00703,0.00703
47,6094.19,1.22061,0.89105,1.37534,0.90749,0.86822,0.93145,0.59867,1.28909,0.70337,1.37193,0.006964,0.006964,0.006964
48,6224.22,1.21522,0.88814,1.36557,0.89585,0.88178,0.92614,0.62106,1.2235,0.68324,1.33079,0.006898,0.006898,0.006898
49,6356.03,1.20337,0.87428,1.35574,0.89989,0.8876,0.93655,0.61183,1.26819,0.67554,1.36298,0.006832,0.006832,0.006832
50,6488.22,1.20654,0.87516,1.36005,0.9063,0.87597,0.92098,0.61514,1.23709,0.6812,1.33816,0.006766,0.006766,0.006766
51,6620.21,1.19235,0.86985,1.35077,0.89937,0.8833,0.93017,0.62332,1.21836,0.68735,1.328,0.0067,0.0067,0.0067
52,6755.02,1.19734,0.86183,1.35121,0.91016,0.86822,0.92652,0.61654,1.22272,0.66965,1.3315,0.006634,0.006634,0.006634
53,6888.37,1.21051,0.86761,1.36079,0.93049,0.87984,0.94234,0.61903,1.22476,0.67052,1.33387,0.006568,0.006568,0.006568
54,7021.78,1.19645,0.86384,1.35479,0.91304,0.87495,0.93214,0.61487,1.24196,0.68284,1.34507,0.006502,0.006502,0.006502
55,7155.8,1.18525,0.85681,1.34017,0.90246,0.89341,0.93375,0.61069,1.24271,0.68737,1.34189,0.006436,0.006436,0.006436
56,7285.81,1.17369,0.83481,1.33657,0.90871,0.89341,0.9335,0.62092,1.22775,0.65217,1.33015,0.00637,0.00637,0.00637
57,7409.88,1.16273,0.82996,1.3357,0.93131,0.89338,0.94345,0.62646,1.23752,0.64958,1.33621,0.006304,0.006304,0.006304
58,7535.13,1.16523,0.83609,1.33497,0.91318,0.87647,0.93463,0.6235,1.20394,0.66062,1.31052,0.006238,0.006238,0.006238
59,7661.58,1.16298,0.81967,1.32439,0.9239,0.8876,0.94528,0.63579,1.18066,0.64904,1.30305,0.006172,0.006172,0.006172
60,7790.31,1.1687,0.83163,1.32666,0.91374,0.88271,0.93895,0.62681,1.21588,0.64834,1.31649,0.006106,0.006106,0.006106
61,7919.4,1.16688,0.8205,1.3284,0.91416,0.88742,0.93507,0.62704,1.19596,0.65238,1.31867,0.00604,0.00604,0.00604
62,8043.31,1.14815,0.82261,1.31916,0.9173,0.89147,0.94005,0.6259,1.21625,0.64762,1.32297,0.005974,0.005974,0.005974
63,8166.22,1.14663,0.81136,1.31379,0.91087,0.88566,0.93851,0.62302,1.2327,0.64627,1.33787,0.005908,0.005908,0.005908
64,8287.57,1.14167,0.81322,1.30948,0.92932,0.89187,0.94457,0.62502,1.22797,0.63467,1.33396,0.005842,0.005842,0.005842
65,8410.99,1.14389,0.80706,1.31715,0.93375,0.88178,0.9478,0.63068,1.20856,0.62857,1.31897,0.005776,0.005776,0.005776
66,8534.89,1.13958,0.8143,1.30575,0.93777,0.88372,0.94275,0.62755,1.21435,0.62029,1.33164,0.00571,0.00571,0.00571
67,8658.79,1.13043,0.79437,1.30923,0.92978,0.89813,0.94705,0.64014,1.21829,0.60843,1.31743,0.005644,0.005644,0.005644
68,8781.57,1.13786,0.79291,1.30185,0.9377,0.87511,0.93933,0.6408,1.17511,0.61354,1.29765,0.005578,0.005578,0.005578
69,8904.7,1.13038,0.78089,1.29967,0.93663,0.88953,0.94135,0.6373,1.18601,0.61824,1.30636,0.005512,0.005512,0.005512
70,9027.12,1.13126,0.78438,1.29744,0.91645,0.89278,0.94393,0.63905,1.1991,0.6225,1.31408,0.005446,0.005446,0.005446
71,9149.85,1.11374,0.77357,1.29014,0.91928,0.88953,0.94066,0.63721,1.19717,0.61175,1.31467,0.00538,0.00538,0.00538
72,9272.3,1.13115,0.77696,1.30115,0.92491,0.89535,0.94015,0.63444,1.21726,0.60881,1.32758,0.005314,0.005314,0.005314
73,9393.6,1.10914,0.76708,1.29104,0.912,0.90698,0.94869,0.64098,1.1915,0.6045,1.29817,0.005248,0.005248,0.005248
74,9515.65,1.10645,0.76791,1.29555,0.92068,0.89982,0.94748,0.64618,1.19153,0.60323,1.30546,0.005182,0.005182,0.005182
75,9637.83,1.11133,0.75904,1.28925,0.90996,0.90504,0.94389,0.64761,1.19112,0.59617,1.31225,0.005116,0.005116,0.005116
76,9767.57,1.11022,0.75384,1.28637,0.91745,0.89922,0.9404,0.64219,1.18975,0.58723,1.30914,0.00505,0.00505,0.00505
77,9903.69,1.10123,0.75481,1.28921,0.9291,0.91433,0.95821,0.65022,1.18489,0.58076,1.30587,0.004984,0.004984,0.004984
78,10148.1,1.09718,0.74416,1.27675,0.92884,0.91071,0.95368,0.65227,1.17894,0.57845,1.30087,0.004918,0.004918,0.004918
79,10313,1.08558,0.73944,1.26475,0.92139,0.90891,0.9469,0.65388,1.17226,0.58579,1.29343,0.004852,0.004852,0.004852
80,10456.2,1.09517,0.74475,1.28092,0.92404,0.90698,0.94095,0.64804,1.17223,0.58583,1.29266,0.004786,0.004786,0.004786
81,10578.4,1.08966,0.73857,1.27163,0.93001,0.91473,0.94976,0.64988,1.17015,0.58849,1.28741,0.00472,0.00472,0.00472
82,10701.1,1.0917,0.73977,1.26902,0.93062,0.90986,0.94944,0.65221,1.16864,0.58571,1.28846,0.004654,0.004654,0.004654
83,10825.9,1.08103,0.72522,1.26253,0.93393,0.90397,0.95284,0.66058,1.16488,0.57442,1.29095,0.004588,0.004588,0.004588
84,10954.4,1.06924,0.74091,1.26389,0.91915,0.90891,0.95489,0.65554,1.18376,0.58156,1.31267,0.004522,0.004522,0.004522
85,11085.3,1.08119,0.72019,1.26751,0.93372,0.91085,0.95139,0.65628,1.17314,0.57203,1.30786,0.004456,0.004456,0.004456
86,11221.2,1.07136,0.71996,1.25789,0.91587,0.90721,0.94959,0.65252,1.16618,0.57431,1.29396,0.00439,0.00439,0.00439
87,11362.4,1.0613,0.72385,1.25562,0.93782,0.90617,0.95177,0.66108,1.16896,0.57572,1.29344,0.004324,0.004324,0.004324
88,11505.3,1.05439,0.71291,1.2532,0.91489,0.92636,0.95497,0.65825,1.17374,0.56582,1.30836,0.004258,0.004258,0.004258
89,11647.8,1.0554,0.71615,1.239,0.91778,0.9086,0.95062,0.65317,1.17225,0.58244,1.3036,0.004192,0.004192,0.004192
90,11782.8,1.04999,0.70306,1.24653,0.90337,0.92636,0.95143,0.65444,1.17574,0.56676,1.30801,0.004126,0.004126,0.004126
91,11915.4,1.04959,0.71179,1.24522,0.91225,0.93023,0.95618,0.65471,1.17794,0.57532,1.3028,0.00406,0.00406,0.00406
92,12047.2,1.04294,0.69544,1.23899,0.91624,0.91156,0.94951,0.65248,1.17563,0.57799,1.30139,0.003994,0.003994,0.003994
93,12182.4,1.0491,0.69258,1.24153,0.91287,0.9186,0.95258,0.65356,1.17635,0.58241,1.30366,0.003928,0.003928,0.003928
94,12320,1.03418,0.68814,1.2358,0.93466,0.90116,0.95159,0.65486,1.18263,0.57171,1.31508,0.003862,0.003862,0.003862
95,12456,1.03804,0.69548,1.24134,0.93271,0.89729,0.95302,0.65662,1.16851,0.56861,1.29845,0.003796,0.003796,0.003796
96,12593.4,1.03451,0.68891,1.23577,0.90761,0.93291,0.95454,0.65672,1.17052,0.57014,1.29263,0.00373,0.00373,0.00373
97,12721.1,1.02004,0.67994,1.23308,0.90675,0.92338,0.95258,0.66082,1.15953,0.56675,1.28884,0.003664,0.003664,0.003664
98,12857.4,1.02802,0.69171,1.23177,0.93347,0.90698,0.95423,0.66124,1.15753,0.56492,1.29051,0.003598,0.003598,0.003598
99,12995.1,1.01332,0.67642,1.21812,0.92893,0.91186,0.95746,0.66463,1.16209,0.56735,1.29836,0.003532,0.003532,0.003532
100,13136.1,1.02032,0.68294,1.22375,0.91488,0.91651,0.95451,0.6597,1.16419,0.57489,1.29671,0.003466,0.003466,0.003466
101,13271.8,0.99899,0.66071,1.20877,0.92083,0.91085,0.9518,0.65486,1.17278,0.57526,1.30616,0.0034,0.0034,0.0034
102,13397.3,1.01074,0.66436,1.2218,0.91854,0.91783,0.95597,0.65384,1.17708,0.57074,1.3074,0.003334,0.003334,0.003334
103,13523.9,0.99295,0.66306,1.21691,0.92549,0.91477,0.95524,0.65684,1.18487,0.56759,1.3113,0.003268,0.003268,0.003268
104,13649.7,1.00974,0.66385,1.22363,0.93536,0.90698,0.95842,0.65734,1.17014,0.5704,1.30155,0.003202,0.003202,0.003202
105,13776.6,0.99981,0.66591,1.21057,0.92037,0.91836,0.95926,0.65697,1.17307,0.57483,1.29914,0.003136,0.003136,0.003136
106,13905.2,1.00249,0.65616,1.21269,0.92898,0.91258,0.96194,0.65649,1.17949,0.57263,1.30289,0.00307,0.00307,0.00307
107,14035,0.99786,0.64986,1.21015,0.93007,0.91473,0.96014,0.65612,1.17622,0.56947,1.3081,0.003004,0.003004,0.003004
108,14164.7,0.99308,0.64616,1.206,0.93877,0.92104,0.9605,0.65644,1.17326,0.56481,1.30958,0.002938,0.002938,0.002938
109,14293.9,0.98971,0.6478,1.20544,0.94892,0.91085,0.95828,0.65772,1.16652,0.5661,1.29778,0.002872,0.002872,0.002872
