epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,188.359,1.07926,0.81937,1.05857,0.76868,0.7,0.70769,0.52596,1.20682,1.03805,1.1927,0.0011684,0.0011684,0.0011684
44,193.251,1.10643,0.77195,1.07337,0.75716,0.7,0.65725,0.44625,1.28562,1.13002,1.21774,0.0011486,0.0011486,0.0011486
45,197.607,1.09636,0.8258,1.04639,0.74413,0.72768,0.71054,0.47478,1.2259,1.08332,1.16183,0.0011288,0.0011288,0.0011288
46,202.294,1.06263,0.7886,1.02818,0.6343,0.75,0.75797,0.58525,1.03954,1.05023,1.08699,0.001109,0.001109,0.001109
47,206.425,1.11376,0.83187,1.10405,0.74771,0.6,0.65676,0.49805,1.02337,1.22262,1.15523,0.0010892,0.0010892,0.0010892
48,211.461,1.06014,0.77983,1.0377,0.84763,0.6,0.72712,0.56461,1.00181,1.03467,1.09384,0.0010694,0.0010694,0.0010694
49,216.135,1.03707,0.74478,1.01431,0.86616,0.64735,0.71545,0.52996,1.04202,1.11094,1.10563,0.0010496,0.0010496,0.0010496
50,220.616,1.04168,0.71979,1.02799,0.81313,0.7,0.72025,0.54044,1.16941,1.21613,1.17667,0.0010298,0.0010298,0.0010298
51,224.875,1.00638,0.71191,1.02646,0.76694,0.65,0.72117,0.55027,1.1189,1.24504,1.1408,0.00101,0.00101,0.00101
52,229.55,1.02583,0.70945,1.01677,0.81333,0.75,0.75158,0.57115,1.08887,1.12731,1.17259,0.0009902,0.0009902,0.0009902
53,234.103,0.93777,0.67691,0.99049,0.78601,0.8,0.78473,0.57259,1.11745,0.95822,1.15218,0.0009704,0.0009704,0.0009704
54,238.776,0.99594,0.72011,1.02798,0.83096,0.8,0.80219,0.58356,1.13695,0.91112,1.2273,0.0009506,0.0009506,0.0009506
55,243.247,0.98582,0.72579,1.02847,0.87209,0.7,0.75982,0.57901,1.17548,1.00013,1.24969,0.0009308,0.0009308,0.0009308
56,248.04,0.93168,0.67888,0.98865,0.8212,0.7,0.73029,0.57771,1.16975,1.09273,1.2376,0.000911,0.000911,0.000911
57,252.363,1.0258,0.76688,1.11788,0.82052,0.68635,0.70852,0.51228,1.23098,1.24671,1.24942,0.0008912,0.0008912,0.0008912
58,256.771,0.89089,0.63861,0.95543,0.80667,0.65,0.70302,0.49032,1.32252,1.09279,1.32352,0.0008714,0.0008714,0.0008714
59,261.573,0.93039,0.63765,0.95967,0.82258,0.69569,0.70002,0.47673,1.16021,1.12369,1.20706,0.0008516,0.0008516,0.0008516
60,266.33,0.97782,0.73122,0.98637,0.83284,0.74748,0.73853,0.56583,1.06488,1.05631,1.15754,0.0008318,0.0008318,0.0008318
61,270.711,0.99394,0.70976,1.07854,0.76589,0.75,0.76009,0.58027,1.07419,1.0839,1.16454,0.000812,0.000812,0.000812
62,275.491,0.92464,0.64701,0.9641,0.72547,0.8,0.75802,0.52064,1.17659,1.09992,1.21897,0.0007922,0.0007922,0.0007922
63,280.169,1.04758,0.79058,1.01973,0.8275,0.8,0.7869,0.57429,1.1371,0.9126,1.15065,0.0007724,0.0007724,0.0007724
64,285.142,0.94402,0.63605,0.96248,0.79952,0.85,0.81012,0.59935,1.02549,1.04812,1.12729,0.0007526,0.0007526,0.0007526
65,290.112,0.89996,0.64392,0.95921,0.88118,0.8,0.78825,0.6143,1.01394,0.98891,1.12808,0.0007328,0.0007328,0.0007328
66,294.872,0.95661,0.68881,0.98094,0.84161,0.7972,0.82952,0.63138,0.98577,0.91362,1.13431,0.000713,0.000713,0.000713
67,299.956,0.96786,0.66741,0.99939,0.83329,0.8,0.81763,0.61128,1.13211,0.88732,1.21874,0.0006932,0.0006932,0.0006932
68,304.719,0.90676,0.64132,0.94872,0.88695,0.78519,0.80104,0.58768,1.06347,0.93302,1.12924,0.0006734,0.0006734,0.0006734
69,309.319,0.90993,0.65525,1.01757,0.8274,0.8,0.79274,0.59744,1.09572,0.99714,1.16752,0.0006536,0.0006536,0.0006536
70,314.027,0.94091,0.68708,1.01109,0.87284,0.8,0.7956,0.61759,1.05885,1.01839,1.17173,0.0006338,0.0006338,0.0006338
71,318.394,0.82653,0.58947,0.92477,0.85556,0.8,0.80319,0.6011,1.08365,1.05447,1.15937,0.000614,0.000614,0.000614
72,323.354,0.81882,0.57649,0.9511,0.87061,0.8,0.81304,0.60401,1.08927,1.02915,1.16788,0.0005942,0.0005942,0.0005942
73,328.198,0.86547,0.59614,0.92876,0.88151,0.7443,0.81672,0.61143,1.13287,1.0703,1.18015,0.0005744,0.0005744,0.0005744
74,332.9,0.85311,0.59756,0.95202,0.83294,0.74801,0.80906,0.59034,1.10088,1.04051,1.14884,0.0005546,0.0005546,0.0005546
75,337.44,0.74777,0.58741,0.86925,0.83049,0.8,0.8242,0.62154,1.00619,0.98545,1.13132,0.0005348,0.0005348,0.0005348
76,342.062,0.8398,0.58593,0.9544,0.69969,0.81592,0.76836,0.59613,0.99181,0.88641,1.08886,0.000515,0.000515,0.000515
77,346.785,0.84798,0.58433,0.96998,0.81905,0.75,0.78864,0.6039,1.01957,0.97465,1.10256,0.0004952,0.0004952,0.0004952
78,351.602,0.87616,0.6105,0.95229,0.76385,0.65,0.76467,0.5831,0.98241,1.1321,1.09827,0.0004754,0.0004754,0.0004754
79,356.434,0.86449,0.60158,0.94899,0.63607,0.78691,0.76192,0.59143,0.91199,0.99682,1.06194,0.0004556,0.0004556,0.0004556
80,361.439,0.88501,0.58911,0.97437,0.71181,0.8,0.78105,0.60212,0.92867,0.90531,1.07292,0.0004358,0.0004358,0.0004358
81,366.499,0.78604,0.54866,0.95818,0.78069,0.8,0.79831,0.61428,0.967,0.88951,1.08684,0.000416,0.000416,0.000416
82,371.586,0.78995,0.55211,0.91872,0.82573,0.8,0.81289,0.63495,1.00436,0.91085,1.09222,0.0003962,0.0003962,0.0003962
83,376.615,0.79085,0.53597,0.93501,0.84857,0.84096,0.82887,0.66279,0.94351,0.85176,1.04661,0.0003764,0.0003764,0.0003764
84,381.48,0.77128,0.52907,0.92336,0.78389,0.8,0.81543,0.64048,0.94527,0.87808,1.04725,0.0003566,0.0003566,0.0003566
85,386.449,0.82862,0.56599,0.92089,0.79619,0.8,0.80791,0.62433,0.95299,0.91565,1.07494,0.0003368,0.0003368,0.0003368
86,391.779,0.8535,0.57261,0.96628,0.73807,0.85,0.79156,0.61012,0.99275,0.90378,1.10179,0.000317,0.000317,0.000317
87,396.375,0.74829,0.54936,0.87427,0.76309,0.85,0.81597,0.62607,1.06677,0.84345,1.15847,0.0002972,0.0002972,0.0002972
88,401.201,0.7802,0.56616,0.94819,0.87195,0.7,0.82006,0.6174,1.05037,0.78108,1.1238,0.0002774,0.0002774,0.0002774
89,405.942,0.77442,0.56161,0.93771,0.84851,0.84055,0.85038,0.63139,0.99824,0.73736,1.10806,0.0002576,0.0002576,0.0002576
90,410.587,0.81215,0.56583,0.95489,0.89345,0.83899,0.86022,0.64649,1.02355,0.75553,1.10162,0.0002378,0.0002378,0.0002378
91,443.742,0.81681,0.54905,0.95588,0.88218,0.7488,0.83369,0.63941,0.99176,0.78485,1.09378,0.000218,0.000218,0.000218
92,447.883,0.6905,0.47311,0.89827,0.86134,0.7,0.81823,0.6229,1.00157,0.86744,1.10029,0.0001982,0.0001982,0.0001982
93,452.073,0.73802,0.47554,0.9042,0.8817,0.74553,0.80149,0.61159,0.98055,0.84251,1.08947,0.0001784,0.0001784,0.0001784
94,456.351,0.67624,0.45152,0.85605,0.83961,0.78576,0.80653,0.6291,1.00983,0.81994,1.09396,0.0001586,0.0001586,0.0001586
95,460.585,0.68439,0.44673,0.86874,0.88188,0.74677,0.79851,0.61914,1.01524,0.83357,1.09568,0.0001388,0.0001388,0.0001388
96,465.422,0.70875,0.47585,0.87386,0.82452,0.75,0.79695,0.63105,1.01056,0.86352,1.09998,0.000119,0.000119,0.000119
97,470.066,0.70116,0.45459,0.87055,0.78421,0.75,0.78982,0.63158,0.99704,0.87686,1.11451,9.92e-05,9.92e-05,9.92e-05
98,474.852,0.72639,0.4518,0.87924,0.78644,0.75,0.79295,0.61009,1.01744,0.8894,1.11222,7.94e-05,7.94e-05,7.94e-05
99,479.662,0.63457,0.42859,0.85328,0.79713,0.78637,0.7987,0.6235,1.01505,0.88195,1.10611,5.96e-05,5.96e-05,5.96e-05
100,484.407,0.70862,0.44458,0.87524,0.84157,0.79694,0.80435,0.62726,1.00776,0.87096,1.09944,3.98e-05,3.98e-05,3.98e-05
